﻿Kód;Název ulice;Kód Obce;Název Obce;Kód Okresu;Název Okresu
20842;Adamovská;582786;Brno;3702;Brno-město
20851;Absolonova;582786;Brno;3702;Brno-město
20869;Akátová;582786;Brno;3702;Brno-město
20877;Alešova;582786;Brno;3702;Brno-město
20885;Amerlingova;582786;Brno;3702;Brno-město
20893;Andrýskova;582786;Brno;3702;Brno-město
20907;Anenská;582786;Brno;3702;Brno-město
20915;Antala Staška;582786;Brno;3702;Brno-město
20923;Antonína Macka;582786;Brno;3702;Brno-město
20931;Antonína Procházky;582786;Brno;3702;Brno-město
20940;Antonína Slavíka;582786;Brno;3702;Brno-město
20958;Antonínská;582786;Brno;3702;Brno-město
20966;Arbesova;582786;Brno;3702;Brno-město
20974;Arménská;582786;Brno;3702;Brno-město
20982;Atriová;582786;Brno;3702;Brno-město
20991;Arne Nováka;582786;Brno;3702;Brno-město
21008;Auerswaldova;582786;Brno;3702;Brno-město
21016;Axmanova;582786;Brno;3702;Brno-město
21024;Babičkova;582786;Brno;3702;Brno-město
21032;Azurová;582786;Brno;3702;Brno-město
21041;Bačovského;582786;Brno;3702;Brno-město
21059;Balbínova;582786;Brno;3702;Brno-město
21067;Baarovo nábřeží;582786;Brno;3702;Brno-město
21075;Banskobystrická;582786;Brno;3702;Brno-město
21083;Bartákova;582786;Brno;3702;Brno-město
21091;Bartošova;582786;Brno;3702;Brno-město
21105;Barvičova;582786;Brno;3702;Brno-město
21113;Barvy;582786;Brno;3702;Brno-město
21121;Bašného;582786;Brno;3702;Brno-město
21130;Bašty;582786;Brno;3702;Brno-město
21148;Bayerova;582786;Brno;3702;Brno-město
21156;Bažinka;582786;Brno;3702;Brno-město
21164;Bednářova;582786;Brno;3702;Brno-město
21172;Bedřichovická;582786;Brno;3702;Brno-město
21181;Beethovenova;582786;Brno;3702;Brno-město
21199;Bellova;582786;Brno;3702;Brno-město
21202;Babická;582786;Brno;3702;Brno-město
21211;Bendlova;582786;Brno;3702;Brno-město
21229;Berkova;582786;Brno;3702;Brno-město
21237;Bernáčkova;582786;Brno;3702;Brno-město
21245;Besední;582786;Brno;3702;Brno-město
21253;Bezovka;582786;Brno;3702;Brno-město
21261;Bezručova;582786;Brno;3702;Brno-město
21270;Běhounská;582786;Brno;3702;Brno-město
21288;Bakalovo nábřeží;582786;Brno;3702;Brno-město
21296;Bělidla;582786;Brno;3702;Brno-město
21300;Bělohorská;582786;Brno;3702;Brno-město
21318;Běloruská;582786;Brno;3702;Brno-město
21326;Běly Pažoutové;582786;Brno;3702;Brno-město
21334;Bieblova;582786;Brno;3702;Brno-město
21342;Biskupská;582786;Brno;3702;Brno-město
21351;Bílovická;582786;Brno;3702;Brno-město
21369;Bílého;582786;Brno;3702;Brno-město
21377;Blahoslavova;582786;Brno;3702;Brno-město
21385;Blanenská;582786;Brno;3702;Brno-město
21393;Blatnická;582786;Brno;3702;Brno-město
21407;Blatného;582786;Brno;3702;Brno-město
21415;Blažkova;582786;Brno;3702;Brno-město
21431;Blodkova;582786;Brno;3702;Brno-město
21440;Blümlova;582786;Brno;3702;Brno-město
21458;Boční;582786;Brno;3702;Brno-město
21466;Bodlákova;582786;Brno;3702;Brno-město
21474;Bohatcova;582786;Brno;3702;Brno-město
21482;Björnsenův sad;582786;Brno;3702;Brno-město
21491;Bohunická;582786;Brno;3702;Brno-město
21504;Bohuňova;582786;Brno;3702;Brno-město
21512;Bohuslava Martinů;582786;Brno;3702;Brno-město
21521;Bolzanova;582786;Brno;3702;Brno-město
21539;Borky;582786;Brno;3702;Brno-město
21547;Borodinova;582786;Brno;3702;Brno-město
21555;Borová;582786;Brno;3702;Brno-město
21563;Bořetická;582786;Brno;3702;Brno-město
21571;Bořivojova;582786;Brno;3702;Brno-město
21580;Boří;582786;Brno;3702;Brno-město
21598;Boskovická;582786;Brno;3702;Brno-město
21601;Bosonožská;582786;Brno;3702;Brno-město
21610;Botanická;582786;Brno;3702;Brno-město
21628;Blatouchová;582786;Brno;3702;Brno-město
21636;Boženy Antonínové;582786;Brno;3702;Brno-město
21644;Boženy Němcové;582786;Brno;3702;Brno-město
21652;Božetěchova;582786;Brno;3702;Brno-město
21661;Branka;582786;Brno;3702;Brno-město
21679;Boettingrova;582786;Brno;3702;Brno-město
21687;Bratislavská;582786;Brno;3702;Brno-město
21695;bratří Čapků;582786;Brno;3702;Brno-město
21709;Kotlanova;582786;Brno;3702;Brno-město
21717;bratří Křičků;582786;Brno;3702;Brno-město
21725;bratří Mrštíků;582786;Brno;3702;Brno-město
21733;bratří Pelíšků;582786;Brno;3702;Brno-město
21741;bratří Žůrků;582786;Brno;3702;Brno-město
21750;Bráfova;582786;Brno;3702;Brno-město
21768;Brechtova;582786;Brno;3702;Brno-město
21776;Breitcetlova;582786;Brno;3702;Brno-město
21784;Broskvoňová;582786;Brno;3702;Brno-město
21792;Borůvková;582786;Brno;3702;Brno-město
21806;Bosonožské náměstí;582786;Brno;3702;Brno-město
21814;Brožíkova;582786;Brno;3702;Brno-město
21822;Břeclavská;582786;Brno;3702;Brno-město
21831;Břehová;582786;Brno;3702;Brno-město
21849;Břenkova;582786;Brno;3702;Brno-město
21857;Břetislavova;582786;Brno;3702;Brno-město
21865;Březinova;582786;Brno;3702;Brno-město
21873;Březová;582786;Brno;3702;Brno-město
21881;Bubeníčkova;582786;Brno;3702;Brno-město
21890;Buchtova;582786;Brno;3702;Brno-město
21903;Bučovická;582786;Brno;3702;Brno-město
21911;Budínská;582786;Brno;3702;Brno-město
21920;Belcrediho;582786;Brno;3702;Brno-město
21938;Budovcova;582786;Brno;3702;Brno-město
21946;Buková;582786;Brno;3702;Brno-město
21954;Bukovského;582786;Brno;3702;Brno-město
21962;Bulharská;582786;Brno;3702;Brno-město
21971;Burešova;582786;Brno;3702;Brno-město
21989;Buzkova;582786;Brno;3702;Brno-město
21997;Burianovo náměstí;582786;Brno;3702;Brno-město
22004;Bystrcká;582786;Brno;3702;Brno-město
22012;Bystřinova;582786;Brno;3702;Brno-město
22021;Bzenecká;582786;Brno;3702;Brno-město
22039;Böhmova;582786;Brno;3702;Brno-město
22047;Cacovice;582786;Brno;3702;Brno-město
22055;Cacovická;582786;Brno;3702;Brno-město
22063;Cejl;582786;Brno;3702;Brno-město
22071;Celní;582786;Brno;3702;Brno-město
22080;Chalabalova;582786;Brno;3702;Brno-město
22098;Chaloupkova;582786;Brno;3702;Brno-město
22101;Černíkova;582786;Brno;3702;Brno-město
22110;Chaloupky;582786;Brno;3702;Brno-město
22128;Charbulova;582786;Brno;3702;Brno-město
22136;Charvatská;582786;Brno;3702;Brno-město
22144;Davídkova;582786;Brno;3702;Brno-město
22152;Chelčického;582786;Brno;3702;Brno-město
22161;Dlouhé vrchy;582786;Brno;3702;Brno-město
22179;Chládkova;582786;Brno;3702;Brno-město
22187;Chleborádova;582786;Brno;3702;Brno-město
22195;Chlubnova;582786;Brno;3702;Brno-město
22209;Chlumy;582786;Brno;3702;Brno-město
22217;Chlupova;582786;Brno;3702;Brno-město
22225;Chmelnice;582786;Brno;3702;Brno-město
22233;Chodská;582786;Brno;3702;Brno-město
22241;Chopinova;582786;Brno;3702;Brno-město
22250;Chrlická;582786;Brno;3702;Brno-město
22268;Chrpová;582786;Brno;3702;Brno-město
22276;Dolní;582786;Brno;3702;Brno-město
22284;Chudobova;582786;Brno;3702;Brno-město
22292;Churého;582786;Brno;3702;Brno-město
22306;Chytilova;582786;Brno;3702;Brno-město
22314;Cihlářská;582786;Brno;3702;Brno-město
22322;Cimburkova;582786;Brno;3702;Brno-město
22331;Colova;582786;Brno;3702;Brno-město
22349;Cornovova;582786;Brno;3702;Brno-město
22357;Ctiradova;582786;Brno;3702;Brno-město
22365;Cupákova;582786;Brno;3702;Brno-město
22373;Cyrilská;582786;Brno;3702;Brno-město
22381;Čajkovského;582786;Brno;3702;Brno-město
22390;Čápkova;582786;Brno;3702;Brno-město
22403;Čechyňská;582786;Brno;3702;Brno-město
22411;Čejkova;582786;Brno;3702;Brno-město
22420;Čejkovická;582786;Brno;3702;Brno-město
22438;Čelakovského;582786;Brno;3702;Brno-město
22446;Čeňka Růžičky;582786;Brno;3702;Brno-město
22454;Čermákova;582786;Brno;3702;Brno-město
22462;Černá;582786;Brno;3702;Brno-město
22471;Černohorská;582786;Brno;3702;Brno-město
22489;Černopolní;582786;Brno;3702;Brno-město
22497;Černovická;582786;Brno;3702;Brno-město
22501;Černovičky;582786;Brno;3702;Brno-město
22519;Černozemní;582786;Brno;3702;Brno-město
22527;Černého;582786;Brno;3702;Brno-město
22535;Červený kopec;582786;Brno;3702;Brno-město
22543;Červinkova;582786;Brno;3702;Brno-město
22551;Česká;582786;Brno;3702;Brno-město
22560;Čichnova;582786;Brno;3702;Brno-město
22578;Čtvery hony;582786;Brno;3702;Brno-město
22586;Čtvrtě;582786;Brno;3702;Brno-město
22594;Dačického;582786;Brno;3702;Brno-město
22608;Dalimilova;582786;Brno;3702;Brno-město
22616;Demlova;582786;Brno;3702;Brno-město
22624;Desátková;582786;Brno;3702;Brno-město
22632;Deštná;582786;Brno;3702;Brno-město
22641;Dědická;582786;Brno;3702;Brno-město
22659;Dělnická;582786;Brno;3702;Brno-město
22667;Dillingerova;582786;Brno;3702;Brno-město
22675;Štefánikova;582786;Brno;3702;Brno-město
22683;Divadelní;582786;Brno;3702;Brno-město
22691;Divišova;582786;Brno;3702;Brno-město
22705;Díly;582786;Brno;3702;Brno-město
22713;Dlážděná;582786;Brno;3702;Brno-město
22721;Dlouhé hony;582786;Brno;3702;Brno-město
22730;Dobrovského;582786;Brno;3702;Brno-město
22748;Dohnalova;582786;Brno;3702;Brno-město
22756;Prumperk;582786;Brno;3702;Brno-město
22764;Doležalova;582786;Brno;3702;Brno-město
22772;Dolnice;582786;Brno;3702;Brno-město
22781;Dolnopolní;582786;Brno;3702;Brno-město
22799;Domažlická;582786;Brno;3702;Brno-město
22802;Dominikánská;582786;Brno;3702;Brno-město
22811;Dornych;582786;Brno;3702;Brno-město
22829;Dominikánské náměstí;582786;Brno;3702;Brno-město
22837;Dostálova;582786;Brno;3702;Brno-město
22845;Došlíkova;582786;Brno;3702;Brno-město
22853;Doubí;582786;Brno;3702;Brno-město
22861;Drápelova;582786;Brno;3702;Brno-město
22870;Drdy;582786;Brno;3702;Brno-město
22888;Ernsta Macha;582786;Brno;3702;Brno-město
22896;Drnovická;582786;Brno;3702;Brno-město
22900;Drobného;582786;Brno;3702;Brno-město
22918;Drozdí;582786;Brno;3702;Brno-město
22926;Družstevní;582786;Brno;3702;Brno-město
22934;Dřevařská;582786;Brno;3702;Brno-město
22942;Dřínová;582786;Brno;3702;Brno-město
22951;Dubová;582786;Brno;3702;Brno-město
22969;Dudíkova;582786;Brno;3702;Brno-město
22977;Dulánek;582786;Brno;3702;Brno-město
22985;Dufkovo nábřeží;582786;Brno;3702;Brno-město
22993;Duhová;582786;Brno;3702;Brno-město
23001;Dunajevského;582786;Brno;3702;Brno-město
23019;Durďákova;582786;Brno;3702;Brno-město
23027;Dvorecká;582786;Brno;3702;Brno-město
23035;Dvorského;582786;Brno;3702;Brno-město
23043;Dvořákova;582786;Brno;3702;Brno-město
23051;Dvořiště;582786;Brno;3702;Brno-město
23060;Dykova;582786;Brno;3702;Brno-město
23078;Dukelská třída;582786;Brno;3702;Brno-město
23086;Eimova;582786;Brno;3702;Brno-město
23094;Eleonory Voračické;582786;Brno;3702;Brno-město
23108;Elgartova;582786;Brno;3702;Brno-město
23116;Eliášova;582786;Brno;3702;Brno-město
23124;Elišky Krásnohorské;582786;Brno;3702;Brno-město
23132;Elišky Machové;582786;Brno;3702;Brno-město
23141;Elišky Přemyslovny;582786;Brno;3702;Brno-město
23159;Hvězdová;582786;Brno;3702;Brno-město
23167;Erbenova;582786;Brno;3702;Brno-město
23175;Fanderlíkova;582786;Brno;3702;Brno-město
23183;Dvůr;582786;Brno;3702;Brno-město
23191;Faměrovo náměstí;582786;Brno;3702;Brno-město
23205;Farní;582786;Brno;3702;Brno-město
23213;Farského;582786;Brno;3702;Brno-město
23221;Faulhabrova;582786;Brno;3702;Brno-město
23230;Ferrerova;582786;Brno;3702;Brno-město
23248;Fantova;582786;Brno;3702;Brno-město
23256;Fibichova;582786;Brno;3702;Brno-město
23264;Filipínského;582786;Brno;3702;Brno-město
23272;Filipova;582786;Brno;3702;Brno-město
23281;Filkukova;582786;Brno;3702;Brno-město
23299;Fillova;582786;Brno;3702;Brno-město
23302;Fišova;582786;Brno;3702;Brno-město
23311;Fleischnerova;582786;Brno;3702;Brno-město
23329;Foerstrova;582786;Brno;3702;Brno-město
23337;Fialová;582786;Brno;3702;Brno-město
23345;Foltýnova;582786;Brno;3702;Brno-město
23353;Foustkova;582786;Brno;3702;Brno-město
23361;Francouzská;582786;Brno;3702;Brno-město
23370;Františkánská;582786;Brno;3702;Brno-město
23388;Františky Skaunicové;582786;Brno;3702;Brno-město
23396;Františky Stránecké;582786;Brno;3702;Brno-město
23400;Franzova;582786;Brno;3702;Brno-město
23418;Fričova;582786;Brno;3702;Brno-město
23426;Skutilova;582786;Brno;3702;Brno-město
23434;Fučíkova;582786;Brno;3702;Brno-město
23442;Fügnerova;582786;Brno;3702;Brno-město
23451;Gabriely Preissové;582786;Brno;3702;Brno-město
23469;Gajdošova;582786;Brno;3702;Brno-město
23477;Gallašova;582786;Brno;3702;Brno-město
23485;Florianova;582786;Brno;3702;Brno-město
23493;Gargulákova;582786;Brno;3702;Brno-město
23507;Gebauerova;582786;Brno;3702;Brno-město
23515;Geislerova;582786;Brno;3702;Brno-město
23523;Gellnerova;582786;Brno;3702;Brno-město
23531;Glinkova;582786;Brno;3702;Brno-město
23540;Glocova;582786;Brno;3702;Brno-město
23558;Gogolova;582786;Brno;3702;Brno-město
23566;Gorazdova;582786;Brno;3702;Brno-město
23574;Gorkého;582786;Brno;3702;Brno-město
23582;Grmelova;582786;Brno;3702;Brno-město
23591;Galandauerova;582786;Brno;3702;Brno-město
23604;Grohova;582786;Brno;3702;Brno-město
23612;Gromešova;582786;Brno;3702;Brno-město
23621;Gruzínská;582786;Brno;3702;Brno-město
23639;Haasova;582786;Brno;3702;Brno-město
23647;Habrová;582786;Brno;3702;Brno-město
23655;Habřinova;582786;Brno;3702;Brno-město
23663;Ibsenova;582786;Brno;3702;Brno-město
23671;Hamry;582786;Brno;3702;Brno-město
23680;Goldova;582786;Brno;3702;Brno-město
23698;Hanácká;582786;Brno;3702;Brno-město
23701;Hansmannova;582786;Brno;3702;Brno-město
23710;Hapalova;582786;Brno;3702;Brno-město
23728;Haraštova;582786;Brno;3702;Brno-město
23736;Osová;582786;Brno;3702;Brno-město
23744;Hasičská;582786;Brno;3702;Brno-město
23752;Haškova;582786;Brno;3702;Brno-město
23761;Hatě;582786;Brno;3702;Brno-město
23779;Havelkova;582786;Brno;3702;Brno-město
23787;Halasovo náměstí;582786;Brno;3702;Brno-město
23795;Havlenova;582786;Brno;3702;Brno-město
23809;Havlíčkova;582786;Brno;3702;Brno-město
23817;Havraní;582786;Brno;3702;Brno-město
23825;Havránkova;582786;Brno;3702;Brno-město
23833;Hádecká;582786;Brno;3702;Brno-město
23841;Hády;582786;Brno;3702;Brno-město
23850;Hájkova;582786;Brno;3702;Brno-město
23868;Hálkova;582786;Brno;3702;Brno-město
23876;Heinrichova;582786;Brno;3702;Brno-město
23884;Helceletova;582786;Brno;3702;Brno-město
23892;Helenčina;582786;Brno;3702;Brno-město
23906;Heleny Malířové;582786;Brno;3702;Brno-město
23914;Helfertova;582786;Brno;3702;Brno-město
23922;Herbenova;582786;Brno;3702;Brno-město
23931;Herčíkova;582786;Brno;3702;Brno-město
23949;Heydukova;582786;Brno;3702;Brno-město
23957;Havláskova;582786;Brno;3702;Brno-město
23965;Heyrovského;582786;Brno;3702;Brno-město
23973;Hilleho;582786;Brno;3702;Brno-město
23981;Hladíkova;582786;Brno;3702;Brno-město
23990;Hlaváčkova;582786;Brno;3702;Brno-město
24007;Hlaváčova;582786;Brno;3702;Brno-město
24015;Hlavní;582786;Brno;3702;Brno-město
24023;Hlávkova;582786;Brno;3702;Brno-město
24031;Hliník;582786;Brno;3702;Brno-město
24040;Hlinky;582786;Brno;3702;Brno-město
24058;Hlídka;582786;Brno;3702;Brno-město
24066;Hlohová;582786;Brno;3702;Brno-město
24074;Hluboká;582786;Brno;3702;Brno-město
24082;Hněvkovského;582786;Brno;3702;Brno-město
24091;Hoblíkova;582786;Brno;3702;Brno-město
24104;Hochmanova;582786;Brno;3702;Brno-město
24112;Hodonínská;582786;Brno;3702;Brno-město
24121;Holásecká;582786;Brno;3702;Brno-město
24139;Hermannova;582786;Brno;3702;Brno-město
24147;Holubova;582786;Brno;3702;Brno-město
24155;Holzova;582786;Brno;3702;Brno-město
24163;Hoppova;582786;Brno;3702;Brno-město
24171;Horákova;582786;Brno;3702;Brno-město
24180;Högrova;582786;Brno;3702;Brno-město
24198;Horákovská;582786;Brno;3702;Brno-město
24201;Horní;582786;Brno;3702;Brno-město
24210;Horníkova;582786;Brno;3702;Brno-město
24228;Horova;582786;Brno;3702;Brno-město
24236;Horská;582786;Brno;3702;Brno-město
24244;Horymírova;582786;Brno;3702;Brno-město
24252;Hostinského;582786;Brno;3702;Brno-město
24261;Hoštická;582786;Brno;3702;Brno-město
24279;Hradiska;582786;Brno;3702;Brno-město
24287;Horácké náměstí;582786;Brno;3702;Brno-město
24295;Hraničky;582786;Brno;3702;Brno-město
24309;Hrdličkova;582786;Brno;3702;Brno-město
24317;Hrad Veveří;582786;Brno;3702;Brno-město
24325;Hrnčířská;582786;Brno;3702;Brno-město
24333;Hromádkova;582786;Brno;3702;Brno-město
24341;Hroznová;582786;Brno;3702;Brno-město
24350;Hrozňatova;582786;Brno;3702;Brno-město
24368;Hrubinky;582786;Brno;3702;Brno-město
24376;Hrubého;582786;Brno;3702;Brno-město
24384;Hrušňová;582786;Brno;3702;Brno-město
24392;Hřbitovní;582786;Brno;3702;Brno-město
24406;Hubrova;582786;Brno;3702;Brno-město
24414;Hudcova;582786;Brno;3702;Brno-město
24422;Hujíčkova;582786;Brno;3702;Brno-město
24431;Humenná;582786;Brno;3702;Brno-město
24449;Husitská;582786;Brno;3702;Brno-město
24457;Husova;582786;Brno;3702;Brno-město
24465;Husovická;582786;Brno;3702;Brno-město
24473;Hutařova;582786;Brno;3702;Brno-město
24481;Húskova;582786;Brno;3702;Brno-město
24490;Hvězdárenská;582786;Brno;3702;Brno-město
24503;Hviezdoslavova;582786;Brno;3702;Brno-město
24511;Hybešova;582786;Brno;3702;Brno-město
24520;Hvozdíková;582786;Brno;3702;Brno-město
24538;Irkutská;582786;Brno;3702;Brno-město
24546;Jablonského;582786;Brno;3702;Brno-město
24554;Chaloupeckého náměstí;582786;Brno;3702;Brno-město
24562;Jabloňová;582786;Brno;3702;Brno-město
24571;Jahodová;582786;Brno;3702;Brno-město
24589;Jakuba Obrovského;582786;Brno;3702;Brno-město
24597;Jakubská;582786;Brno;3702;Brno-město
24601;Jamborova;582786;Brno;3702;Brno-město
24619;Chrlické náměstí;582786;Brno;3702;Brno-město
24627;Jana Babáka;582786;Brno;3702;Brno-město
24635;Jana Nečase;582786;Brno;3702;Brno-město
24643;Jana Svobody;582786;Brno;3702;Brno-město
24651;Jana Uhra;582786;Brno;3702;Brno-město
24660;Jandáskova;582786;Brno;3702;Brno-město
24678;Ivanovické náměstí;582786;Brno;3702;Brno-město
24686;Janouškova;582786;Brno;3702;Brno-město
24694;Jarní;582786;Brno;3702;Brno-město
24708;Jasanová;582786;Brno;3702;Brno-město
24716;Jaselská;582786;Brno;3702;Brno-město
24724;Jasmínová;582786;Brno;3702;Brno-město
24732;Jasná;582786;Brno;3702;Brno-město
24741;Jateční;582786;Brno;3702;Brno-město
24759;Javorová;582786;Brno;3702;Brno-město
24767;Jámy;582786;Brno;3702;Brno-město
24775;Jánošíkova;582786;Brno;3702;Brno-město
24783;Jánská;582786;Brno;3702;Brno-město
24791;Ječná;582786;Brno;3702;Brno-město
24805;Jedlová;582786;Brno;3702;Brno-město
24813;Jehnická;582786;Brno;3702;Brno-město
24821;Jelínkova;582786;Brno;3702;Brno-město
24830;Jemelkova;582786;Brno;3702;Brno-město
24848;Jeneweinova;582786;Brno;3702;Brno-město
24856;Jeníčkova;582786;Brno;3702;Brno-město
24864;Jeronýmova;582786;Brno;3702;Brno-město
24872;Jeřabinová;582786;Brno;3702;Brno-město
24881;Jeřábkova;582786;Brno;3702;Brno-město
24899;Jezerní;582786;Brno;3702;Brno-město
24902;Jezuitská;582786;Brno;3702;Brno-město
24911;Ježkova;582786;Brno;3702;Brno-město
24929;Jihlavská;582786;Brno;3702;Brno-město
24937;Jilemnického;582786;Brno;3702;Brno-město
24945;Jakubské náměstí;582786;Brno;3702;Brno-město
24953;Jindřichova;582786;Brno;3702;Brno-město
24961;Jiránkova;582786;Brno;3702;Brno-město
24970;Jiráskova;582786;Brno;3702;Brno-město
24988;Jircháře;582786;Brno;3702;Brno-město
24996;Jiřinová;582786;Brno;3702;Brno-město
25003;Jiříkovského;582786;Brno;3702;Brno-město
25011;Jílkova;582786;Brno;3702;Brno-město
25020;Janáčkovo náměstí;582786;Brno;3702;Brno-město
25038;Jílová;582786;Brno;3702;Brno-město
25046;Jírova;582786;Brno;3702;Brno-město
25054;Jírovcova;582786;Brno;3702;Brno-město
25062;Josefská;582786;Brno;3702;Brno-město
25071;Josefy Faimonové;582786;Brno;3702;Brno-město
25089;Joštova;582786;Brno;3702;Brno-město
25097;Jelení;582786;Brno;3702;Brno-město
25101;Jožky Jabůrkové;582786;Brno;3702;Brno-město
25119;Jubilejní;582786;Brno;3702;Brno-město
25127;Jugoslávská;582786;Brno;3702;Brno-město
25135;Jundrovská;582786;Brno;3702;Brno-město
25143;Jungmannova;582786;Brno;3702;Brno-město
25151;Souhrady;582786;Brno;3702;Brno-město
25160;Jurkovičova;582786;Brno;3702;Brno-město
25178;K dálnici;582786;Brno;3702;Brno-město
25186;K lázinkám;582786;Brno;3702;Brno-město
25194;Kabátníkova;582786;Brno;3702;Brno-město
25208;Kachlíkova;582786;Brno;3702;Brno-město
25216;Kainarova;582786;Brno;3702;Brno-město
25224;Kaleckého;582786;Brno;3702;Brno-město
25232;Labská;582786;Brno;3702;Brno-město
25241;Kalinová;582786;Brno;3702;Brno-město
25259;Kallabova;582786;Brno;3702;Brno-město
25267;Kaloudova;582786;Brno;3702;Brno-město
25275;Kalvodova;582786;Brno;3702;Brno-město
25283;Kamanova;582786;Brno;3702;Brno-město
25291;Kamenačky;582786;Brno;3702;Brno-město
25305;Kameníčkova;582786;Brno;3702;Brno-město
25313;Kamenná;582786;Brno;3702;Brno-město
25321;Kamenná čtvrť;582786;Brno;3702;Brno-město
25330;Kamenomlýnská;582786;Brno;3702;Brno-město
25348;Jihomoravské náměstí;582786;Brno;3702;Brno-město
25356;Kamínky;582786;Brno;3702;Brno-město
25364;Kampelíkova;582786;Brno;3702;Brno-město
25372;Kaplanova;582786;Brno;3702;Brno-město
25381;Havlišova;582786;Brno;3702;Brno-město
25399;Karásek;582786;Brno;3702;Brno-město
25402;Jižní náměstí;582786;Brno;3702;Brno-město
25411;Karkulínova;582786;Brno;3702;Brno-město
25429;Karlova;582786;Brno;3702;Brno-město
25437;Elplova;582786;Brno;3702;Brno-město
25445;Karolíny Světlé;582786;Brno;3702;Brno-město
25453;Kartouzská;582786;Brno;3702;Brno-město
25461;Kaštanová;582786;Brno;3702;Brno-město
25470;Kárníkova;582786;Brno;3702;Brno-město
25488;Kejbaly;582786;Brno;3702;Brno-město
25496;Juliánovské náměstí;582786;Brno;3702;Brno-město
25500;Dunajská;582786;Brno;3702;Brno-město
25518;Kapucínské náměstí;582786;Brno;3702;Brno-město
25526;Kladivova;582786;Brno;3702;Brno-město
25534;Klajdovská;582786;Brno;3702;Brno-město
25542;Klatovská;582786;Brno;3702;Brno-město
25551;Klácelova;582786;Brno;3702;Brno-město
25569;Klášterského;582786;Brno;3702;Brno-město
25577;Klecandova;582786;Brno;3702;Brno-město
25585;Kleštínek;582786;Brno;3702;Brno-město
